dataset,protocol,seed,value,metric
pgp_broccatelli,al,0,0.6125573857157794,mcc
pgp_broccatelli,al,1,0.674005663679568,mcc
pgp_broccatelli,al,2,0.621950252056214,mcc
pgp_broccatelli,al,3,0.6198473949460177,mcc
pgp_broccatelli,al,4,0.7029711246237972,mcc
pgp_broccatelli,al,5,0.5943608652094167,mcc
pgp_broccatelli,al,6,0.6936105316296095,mcc
pgp_broccatelli,al,7,0.6070876482125875,mcc
pgp_broccatelli,al,8,0.598962816136517,mcc
pgp_broccatelli,al,9,0.6611286872521454,mcc
pgp_broccatelli,al,10,0.6945378950714968,mcc
pgp_broccatelli,al,11,0.6018877004384167,mcc
pgp_broccatelli,al,12,0.5722833491828234,mcc
pgp_broccatelli,al,13,0.6861133637414432,mcc
pgp_broccatelli,al,14,0.667141998083727,mcc
pgp_broccatelli,al,15,0.6799773853831296,mcc
pgp_broccatelli,al,16,0.6509534265401917,mcc
pgp_broccatelli,al,17,0.6711745374133378,mcc
pgp_broccatelli,al,18,0.6378480275042255,mcc
pgp_broccatelli,al,19,0.672216959608236,mcc
pgp_broccatelli,pl,0,0.6642303197027091,mcc
pgp_broccatelli,pl,1,0.6829980377026986,mcc
pgp_broccatelli,pl,2,0.6053459762154705,mcc
pgp_broccatelli,pl,3,0.5916673219355658,mcc
pgp_broccatelli,pl,4,0.6297183098591549,mcc
pgp_broccatelli,pl,5,0.6353730056826775,mcc
pgp_broccatelli,pl,6,0.5829525815894236,mcc
pgp_broccatelli,pl,7,0.4854253853321151,mcc
pgp_broccatelli,pl,8,0.499431735438227,mcc
pgp_broccatelli,pl,9,0.673073517741201,mcc
pgp_broccatelli,pl,10,0.6866233096015459,mcc
pgp_broccatelli,pl,11,0.6208913063103932,mcc
pgp_broccatelli,pl,12,0.5519495942439472,mcc
pgp_broccatelli,pl,13,0.6685517275864116,mcc
pgp_broccatelli,pl,14,0.6387609611074789,mcc
pgp_broccatelli,pl,15,0.6072029776269654,mcc
pgp_broccatelli,pl,16,0.5969360045379433,mcc
