error_rate,dataset,strategy,delta_auc,p_value,n,category
0,CHEMBL1075104-1,first,-0.06388197073379018,0.8694877624511719,20,no_difference
0,CHEMBL1075104-1,max_oob_error,1.7827769395638444,0.0007076263427734375,20,better
0,CHEMBL1075104-1,max_oob_uncertainty,-0.02001054471610786,0.956329345703125,20,no_difference
0,CHEMBL1075104-1,min_oob_error,0.0060513234222550946,0.7841262817382812,20,no_difference
0,CHEMBL1075104-1,min_oob_uncertainty,1.3422865656547294,0.0005855560302734375,20,better
0,CHEMBL1075104-1,random,0.22580040469011847,0.7561664581298828,20,no_difference
0,CHEMBL1293269-1,first,-0.05126439432963394,0.03623390197753906,20,worse
0,CHEMBL1293269-1,max_oob_error,-0.02110590568114361,0.5958194732666016,20,no_difference
0,CHEMBL1293269-1,max_oob_uncertainty,-0.03857783571809499,0.15364646911621094,20,no_difference
0,CHEMBL1293269-1,min_oob_error,-0.043008560484989286,0.1893482208251953,20,no_difference
0,CHEMBL1293269-1,min_oob_uncertainty,-0.03341954114536243,0.34881019592285156,20,no_difference
0,CHEMBL1293269-1,random,-0.051939204457255174,0.029575347900390625,20,worse
0,CHEMBL1800-1,first,0.9891606099601162,1.33514404296875e-05,20,better
0,CHEMBL1800-1,max_oob_error,2.0033757774822596,1.33514404296875e-05,20,better
0,CHEMBL1800-1,max_oob_uncertainty,-0.3643173376539588,0.05316925048828125,20,no_difference
0,CHEMBL1800-1,min_oob_error,0.5846701881704209,0.0002613067626953125,20,better
0,CHEMBL1800-1,min_oob_uncertainty,1.2351006282242019,1.9073486328125e-06,20,better
0,CHEMBL1800-1,random,0.7543185078760939,5.7220458984375e-06,20,better
0,CHEMBL1821-1,first,2.3808260876532987,3.814697265625e-06,20,better
0,CHEMBL1821-1,max_oob_error,1.718640540017465,0.0003223419189453125,20,better
0,CHEMBL1821-1,max_oob_uncertainty,2.1461798041884523,0.000133514404296875,20,better
0,CHEMBL1821-1,min_oob_error,2.005300449456842,8.20159912109375e-05,20,better
0,CHEMBL1821-1,min_oob_uncertainty,1.6423357648294488,0.0003223419189453125,20,better
0,CHEMBL1821-1,random,2.364233882160578,1.9073486328125e-06,20,better
0,CHEMBL1833-1,first,1.583274278858711,6.29425048828125e-05,20,better
0,CHEMBL1833-1,max_oob_error,2.671620139238572,0.001209259033203125,20,better
0,CHEMBL1833-1,max_oob_uncertainty,2.6549710507451874,0.000209808349609375,20,better
0,CHEMBL1833-1,min_oob_error,1.7778171956307613,0.0002613067626953125,20,better
0,CHEMBL1833-1,min_oob_uncertainty,1.6643498443830396,2.6702880859375e-05,20,better
0,CHEMBL1833-1,random,1.526261846388158,0.0003948211669921875,20,better
0,CHEMBL1833-2,first,-0.03715179761343031,0.6476554870605469,20,no_difference
0,CHEMBL1833-2,max_oob_error,0.23684633552222287,0.13272666931152344,20,no_difference
0,CHEMBL1833-2,max_oob_uncertainty,-0.18569404157976804,0.10539817810058594,20,no_difference
0,CHEMBL1833-2,min_oob_error,-0.07858729670944306,0.2942523956298828,20,no_difference
0,CHEMBL1833-2,min_oob_uncertainty,-0.09295264828313136,0.21616744995117188,20,no_difference
0,CHEMBL1833-2,random,0.02932913991140502,0.8694877624511719,20,no_difference
0,CHEMBL1862-1,first,0.22804330303063586,0.17685317993164062,20,no_difference
0,CHEMBL1862-1,max_oob_error,0.0676987787226782,0.7561664581298828,20,no_difference
0,CHEMBL1862-1,max_oob_uncertainty,0.1338229776442052,0.2773551940917969,20,no_difference
0,CHEMBL1862-1,min_oob_error,0.112843472055836,0.4304332733154297,20,no_difference
0,CHEMBL1862-1,min_oob_uncertainty,0.11986682133740505,0.5958194732666016,20,no_difference
0,CHEMBL1862-1,random,0.17854232112296026,0.36827659606933594,20,no_difference
0,CHEMBL1871-1,first,1.176718429192837,0.0072956085205078125,20,better
0,CHEMBL1871-1,max_oob_error,1.246419610643008,0.012079238891601562,20,better
0,CHEMBL1871-1,max_oob_uncertainty,1.2587393990914029,0.0005855560302734375,20,better
0,CHEMBL1871-1,min_oob_error,1.8045010955846361,3.814697265625e-06,20,better
0,CHEMBL1871-1,min_oob_uncertainty,1.5752743258816972,4.76837158203125e-05,20,better
0,CHEMBL1871-1,random,1.1521618570090233,0.002712249755859375,20,better
0,CHEMBL1889-1,first,0.118340100951524,0.0014324188232421875,20,better
0,CHEMBL1889-1,max_oob_error,0.38111187989094086,5.7220458984375e-06,20,better
0,CHEMBL1889-1,max_oob_uncertainty,0.06768466563739892,0.04844093322753906,20,better
0,CHEMBL1889-1,min_oob_error,0.018956929211788064,0.3299827575683594,20,no_difference
0,CHEMBL1889-1,min_oob_uncertainty,0.15871102323696107,4.76837158203125e-05,20,better
0,CHEMBL1889-1,random,0.06671464926356414,0.039989471435546875,20,better
0,CHEMBL1908389-1,first,0.008651505752162692,0.7011814117431641,20,no_difference
0,CHEMBL1908389-1,max_oob_error,-0.06552679714840295,0.9272785186767578,20,no_difference
0,CHEMBL1908389-1,max_oob_uncertainty,-0.024481445531311506,0.47490501403808594,20,no_difference
0,CHEMBL1908389-1,min_oob_error,-0.035458186219778295,0.7841262817382812,20,no_difference
