model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,first,First,0.47327701283050666,0.01274703730878166,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,max_oob_error,MaxE,0.4369763238118104,0.026168228775274013,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,max_oob_uncertainty,MaxU,0.4730781901495839,0.021432087197300685,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,min_oob_error,MinE,0.4224511080922042,0.019829370199331245,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,min_oob_uncertainty,MinU,0.47878809627640895,0.018312035221349998,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,0,random,Random,0.473195768183012,0.01601414828605317,20,0.5488899046964718,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,first,First,0.461888451350576,0.02523040431498767,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,max_oob_error,MaxE,0.44760796515760826,0.026070096101232454,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,max_oob_uncertainty,MaxU,0.45824578587227666,0.019093513514505445,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,min_oob_error,MinE,0.3963415983295223,0.02795138516323284,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,min_oob_uncertainty,MinU,0.4731051931330833,0.023208205702727205,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,10,random,Random,0.4636903642912061,0.019991996234948822,20,0.4615475046655269,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,first,First,0.4144355081492061,0.03140522192927426,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,max_oob_error,MaxE,0.4320652724768757,0.03004841339695105,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,max_oob_uncertainty,MaxU,0.40792077678882216,0.03487441767390495,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,min_oob_error,MinE,0.3407569702161079,0.03349049300908016,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,min_oob_uncertainty,MinU,0.4221703429014737,0.02704551834320648,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,20,random,Random,0.4137555654470053,0.02759717476961785,20,0.4082665703396769,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,first,First,0.3059152634422723,0.03784213591257717,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,max_oob_error,MaxE,0.34724095598629046,0.02966314771825044,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,max_oob_uncertainty,MaxU,0.31271679469591795,0.0361853492349876,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,min_oob_error,MinE,0.3055561037485358,0.036689860477091975,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,min_oob_uncertainty,MinU,0.3111483690171745,0.032272548408088686,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,30,random,Random,0.3142367301236718,0.035403595248226234,20,0.31684050395967794,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,first,First,0.17596788214248796,0.04007317691068377,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,max_oob_error,MaxE,0.19812952863720498,0.0532128978433597,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,max_oob_uncertainty,MaxU,0.16993117607597172,0.04815054067905827,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,min_oob_error,MinE,0.14436583335835126,0.04384523821559106,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,min_oob_uncertainty,MinU,0.16842653243335454,0.04272765372243591,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,40,random,Random,0.170346258112527,0.0347596864069435,20,0.19166293185795472,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,first,First,0.5772803708881884,0.021293242737808946,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,max_oob_error,MaxE,0.5776337279148483,0.020063636518060455,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,max_oob_uncertainty,MaxU,0.5786892400390398,0.021089161193118947,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,min_oob_error,MinE,0.5755402687338612,0.019867846228606028,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,min_oob_uncertainty,MinU,0.5789720765199833,0.019413026132615856,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,0,random,Random,0.5797570165122019,0.021372535492922194,20,0.5951387269899296,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,first,First,0.5393121865575035,0.023251868653083128,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,max_oob_error,MaxE,0.5457604265125305,0.023231020259132765,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,max_oob_uncertainty,MaxU,0.5356609346296748,0.021947071352463016,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,min_oob_error,MinE,0.5305281188509732,0.021284734774000728,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,min_oob_uncertainty,MinU,0.5401209865580138,0.017490775215088752,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,random,Random,0.5387178082033521,0.024930965652041674,20,0.5507104320500527,True
