model,model_label,dataset,dataset_label,strategy,strategy_label,error_rate,sign_class,ok,delta_mcc,p_value
dmpnn,D-MPNN,pgp_broccatelli,Pgp,random,Random,0,-1,True,-0.09557327667476168,3.62396240234375e-05
dmpnn,D-MPNN,pgp_broccatelli,Pgp,random,Random,10,-1,True,-0.033028864827577886,0.029575347900390625
dmpnn,D-MPNN,pgp_broccatelli,Pgp,random,Random,20,-1,True,-0.08660096753706709,5.7220458984375e-06
dmpnn,D-MPNN,pgp_broccatelli,Pgp,random,Random,30,1,True,0.07319264998186531,0.0031528472900390625
dmpnn,D-MPNN,pgp_broccatelli,Pgp,random,Random,40,1,True,0.09406772185594608,0.005580902099609375
dmpnn,D-MPNN,pgp_broccatelli,Pgp,first,First,0,-1,True,-0.08675217577592259,9.5367431640625e-06
dmpnn,D-MPNN,pgp_broccatelli,Pgp,first,First,10,-1,True,-0.03578364014290997,0.006389617919921875
dmpnn,D-MPNN,pgp_broccatelli,Pgp,first,First,20,-1,True,-0.07427320457938652,8.20159912109375e-05
dmpnn,D-MPNN,pgp_broccatelli,Pgp,first,First,30,1,True,0.07889445872395867,0.0004825592041015625
dmpnn,D-MPNN,pgp_broccatelli,Pgp,first,First,40,1,True,0.09009167285495198,0.001689910888671875
dmpnn,D-MPNN,pgp_broccatelli,Pgp,min_oob_error,MinE,0,-1,True,-0.10540711590283819,3.814697265625e-06
dmpnn,D-MPNN,pgp_broccatelli,Pgp,min_oob_error,MinE,10,-1,True,-0.049790464356558595,0.0031528472900390625
dmpnn,D-MPNN,pgp_broccatelli,Pgp,min_oob_error,MinE,20,-1,True,-0.0990479395153116,9.5367431640625e-06
dmpnn,D-MPNN,pgp_broccatelli,Pgp,min_oob_error,MinE,30,0,True,0.028550583328960044,0.082550048828125
dmpnn,D-MPNN,pgp_broccatelli,Pgp,min_oob_error,MinE,40,1,True,0.08534260698193458,0.013616561889648438
dmpnn,D-MPNN,pgp_broccatelli,Pgp,max_oob_error,MaxE,0,-1,True,-0.09890041367903729,3.814697265625e-06
