figure,rf_set,rf_label,dataset,dataset_label,strategy,strategy_label,start_percent,significant,smal_better,delta_auc,p_value,n,sign_class
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,random,Random,10,True,True,0.6032263050344578,0.023950576782226562,20,1
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,first,First,10,True,True,0.5594249348185698,0.01531219482421875,20,1
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.6815225519686976,0.017181396484375,20,1
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,True,0.10529886223122595,0.40909767150878906,20,0
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,True,True,0.49978648630017836,0.04844093322753906,20,1
figureS1,rf-n50-d10,50/10,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,True,True,0.660751246884104,0.017181396484375,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,random,Random,10,True,True,0.7896050251361713,0.00365447998046875,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.9129712046789814,0.0014324188232421875,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,True,True,0.645011234673201,0.013616561889648438,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,True,True,1.4225824106655,4.76837158203125e-05,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,True,True,0.857980238793942,0.0003948211669921875,20,1
figureS1,rf-n50-d10,50/10,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,0.3965957060570299,0.16495704650878906,20,0
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,1.7215676125081203,1.9073486328125e-06,20,1
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,1.7481429137174935,1.9073486328125e-06,20,1
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,1.7275735312178586,3.814697265625e-06,20,1
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,False,False,-0.07658258910144759,0.5958194732666016,20,0
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,1.680256531010551,1.9073486328125e-06,20,1
figureS1,rf-n50-d10,50/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,1.806729754880056,3.814697265625e-06,20,1
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,random,Random,10,False,True,0.18535472386324478,0.2942523956298828,20,0
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,first,First,10,False,True,0.20622129670467934,0.1230926513671875,20,0
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,min_oob_error,MinE,10,False,True,0.2707973753534816,0.1230926513671875,20,0
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,True,False,-0.6855568407573276,0.04405403137207031,20,-1
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,False,True,0.36238150187965806,0.058258056640625,20,0
figureS1,rf-n50-d20,50/20,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,False,True,0.03100331281873068,0.5958194732666016,20,0
figureS1,rf-n50-d20,50/20,PAMPA_NCATS,PAMPA,random,Random,10,True,True,0.2788701417434853,0.029575347900390625,20,1
figureS1,rf-n50-d20,50/20,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.30808961983153854,0.013616561889648438,20,1
figureS1,rf-n50-d20,50/20,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,False,True,0.24046890841589041,0.06372261047363281,20,0
figureS1,rf-n50-d20,50/20,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,False,True,0.06759855996810389,0.9854354858398438,20,0
