dataset,error,seed,metric_value,method,method_label,metric,dataset_label,smal_strategy,f_min_iter
CYP2D6_Veith,0,0,0.463917684868156,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,1,0.434980687024481,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,2,0.4430029069733144,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,3,0.4779447755981383,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,4,0.4137395952938353,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,5,0.4650598058574445,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,6,0.4279509614431765,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,7,0.4447999195204084,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,8,0.4371636954252182,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,9,0.4172918499882193,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,10,0.4447998967270157,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,11,0.4148934087680947,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,12,0.4347869580586073,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,13,0.433109604943185,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,14,0.4195943249127848,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,15,0.4536184644154471,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,16,0.4288679804398229,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,17,0.4387137863088167,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,18,0.4435944339485168,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP2D6_Veith,0,19,0.4835736112973169,smal_max_oob_error,SMAL (MaxE),mcc,CYP2D6,max_oob_error,1485.0
CYP3A4_Veith,0,0,0.5199061463035946,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,1,0.5223924773458245,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,2,0.5562081703301703,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,3,0.5273932602909588,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,4,0.5596713041818439,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,5,0.4801898187292306,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,6,0.5598956329155133,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,7,0.5063914390303668,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,8,0.5773513234301482,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,9,0.4848165833275001,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,10,0.5603486625808008,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,11,0.5163932093139579,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,12,0.4769161537887985,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,13,0.5063053607935414,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,14,0.5269338302428896,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,15,0.5253297949408771,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,16,0.475584038896456,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,17,0.4848481976367225,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,18,0.498264917196411,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
CYP3A4_Veith,0,19,0.544072088203884,smal_max_oob_error,SMAL (MaxE),mcc,CYP3A4,max_oob_error,4514.0
MDR1_MDCK_classification2,0,0,0.5024959692939701,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,1,0.4369118311235855,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,2,0.518997750547685,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,3,0.4486411776315555,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,4,0.453922877287712,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,5,0.4309162153788141,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,6,0.4743473357976617,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,7,0.4805987756971442,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,8,0.4741632843613735,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,9,0.4886501845731931,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,10,0.5186340682925616,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,11,0.4828580253624128,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,12,0.4488865582772629,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,13,0.5133159557380147,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,14,0.4704785211071777,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,15,0.5039827257129971,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,16,0.5129084788525919,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,17,0.4928261366116325,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,18,0.5167856307209646,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
MDR1_MDCK_classification2,0,19,0.4987995754041194,smal_max_oob_error,SMAL (MaxE),mcc,MDR1-MDCK,max_oob_error,682.0
PAMPA_NCATS,0,0,0.2012501379985529,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,1,0.2155920212527743,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,2,0.2010459253751486,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,3,0.205428574357538,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,4,0.1400469034911015,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,5,0.1206295645153237,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,6,0.2060971421095501,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,7,0.1352695829430696,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,8,0.1645687622417721,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,9,0.1968835829958598,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,10,0.1377457255029134,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,11,0.2071558569085595,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,12,0.251452938997096,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,13,0.2036898229360493,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,14,0.1942862142428447,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,15,0.1949844351658232,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,16,0.2486617698575925,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,17,0.134566952520081,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,18,0.1902371703577901,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
PAMPA_NCATS,0,19,0.1559270266375285,smal_max_oob_error,SMAL (MaxE),mcc,PAMPA,max_oob_error,420.0
ames,0,0,0.4322549036335233,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,1,0.5018034387466807,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,2,0.5170273323227464,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,3,0.5123469307269206,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,4,0.4583544999434009,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,5,0.3642868516136927,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,6,0.4733904349926405,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,7,0.490182097120692,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,8,0.4679903282899554,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,9,0.4192531290321342,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,10,0.4754265219755675,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,11,0.4176148325222669,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
