source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,0,pgp_broccatelli,Pgp,random,Random,0.39501750546531866,0.01923370361328125,20,1
initial,0,pgp_broccatelli,Pgp,first,First,0.3675814066603909,0.017181396484375,20,1
initial,0,pgp_broccatelli,Pgp,min_oob_error,MinE,0.4824022565023537,0.002712249755859375,20,1
initial,0,pgp_broccatelli,Pgp,max_oob_error,MaxE,-0.4284077055302326,0.08969497680664062,20,0
initial,0,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0.3249084281003977,0.06372261047363281,20,0
initial,0,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0.3727679040487374,0.012079238891601562,20,1
initial,0,PAMPA_NCATS,PAMPA,random,Random,0.5788559640220117,0.0031528472900390625,20,1
initial,0,PAMPA_NCATS,PAMPA,first,First,0.5977541129766601,0.00365447998046875,20,1
initial,0,PAMPA_NCATS,PAMPA,min_oob_error,MinE,0.6351406646323723,0.00365447998046875,20,1
initial,0,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0.15848200234528073,0.6215133666992188,20,0
initial,0,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,0.765019212838175,0.0002613067626953125,20,1
initial,0,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,0.8190420853826387,0.01068878173828125,20,1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0.9414374368993752,1.9073486328125e-06,20,1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.8593972527277309,1.9073486328125e-06,20,1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,1.2489282621044029,1.9073486328125e-06,20,1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,-0.879110397746938,1.9073486328125e-06,20,-1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.9153511746606785,3.814697265625e-06,20,1
initial,0,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.8900559424366172,1.9073486328125e-06,20,1
initial,0,ames,Ames,random,Random,0.017934918377717858,0.10539817810058594,20,0
initial,0,ames,Ames,first,First,0.02213462866903502,0.05316925048828125,20,0
initial,0,ames,Ames,min_oob_error,MinE,0.020981035158047057,0.04844093322753906,20,1
initial,0,ames,Ames,max_oob_error,MaxE,-0.008534873114320263,0.5958194732666016,20,0
initial,0,ames,Ames,min_oob_uncertainty,MinU,0.014074312285215208,0.2305126190185547,20,0
initial,0,ames,Ames,max_oob_uncertainty,MaxU,0.01426758696566548,0.2305126190185547,20,0
initial,0,CYP3A4_Veith,CYP3A4,random,Random,0.0747308401165597,0.0007076263427734375,20,1
initial,0,CYP3A4_Veith,CYP3A4,first,First,0.07060061099631768,0.0010166168212890625,20,1
initial,0,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,0.08316314041139208,0.001209259033203125,20,1
initial,0,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,-0.07312099979273831,0.0001049041748046875,20,-1
initial,0,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0.06604797525087243,0.0007076263427734375,20,1
initial,0,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0.07376417544571083,0.0005855560302734375,20,1
initial,0,CYP2D6_Veith,CYP2D6,random,Random,1.7072528275733265,1.9073486328125e-06,20,1
initial,0,CYP2D6_Veith,CYP2D6,first,First,1.5654610748085163,1.9073486328125e-06,20,1
initial,0,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,1.412915564488051,1.33514404296875e-05,20,1
initial,0,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,-2.5537795511302672,1.9073486328125e-06,20,-1
initial,0,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,1.7067645591880058,1.9073486328125e-06,20,1
initial,0,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,1.4890451911229807,1.9073486328125e-06,20,1
initial,10,pgp_broccatelli,Pgp,random,Random,0.5117200833037661,0.00485992431640625,20,1
initial,10,pgp_broccatelli,Pgp,first,First,0.4225221468346625,0.0010166168212890625,20,1
