source,error_rate,dataset,dataset_label,strategy,strategy_label,method,n_seeds,figure_id,rf_set,rf_label,learning_progress,mcc_mean,mcc_std
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,9.884678747940692,0.5451663008762343,0.06647588633451969
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,10.709910627538305,0.5496386915678152,0.07710386402720239
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,11.370096131216394,0.5587665912328447,0.07802781479380258
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,12.195328010814007,0.5531742903948227,0.08078701082082945
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,12.855513514492097,0.5401035416279751,0.07290187836978848
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,13.68074539408971,0.5661563872809087,0.0696455755127196
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,14.3409308977678,0.5796119249558139,0.0677719437261159
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,15.166162777365413,0.5669499978062514,0.06608361637784037
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,15.826348281043503,0.5688006478309244,0.07310104886785833
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,16.651580160641117,0.5807838033704251,0.07400462994101657
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,17.476812040238727,0.585689437269495,0.06100542344128713
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,18.13699754391682,0.5679707155364457,0.06893149237087497
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,18.96222942351443,0.5847225740427993,0.05927413378748913
