dataset,error,f_min_train_size,end_iter
CHEMBL1075104-1,0,128,351
CHEMBL1075104-1,10,126,351
CHEMBL1075104-1,20,226,351
CHEMBL1075104-1,30,221,351
CHEMBL1075104-1,40,178,351
CHEMBL1293269-1,0,228,237
CHEMBL1293269-1,10,153,237
CHEMBL1293269-1,20,150,237
CHEMBL1293269-1,30,159,237
CHEMBL1293269-1,40,145,237
CHEMBL1800-1,0,229,412
CHEMBL1800-1,10,269,412
CHEMBL1800-1,20,289,412
CHEMBL1800-1,30,215,412
CHEMBL1800-1,40,373,412
CHEMBL1821-1,0,122,244
CHEMBL1821-1,10,115,244
CHEMBL1821-1,20,129,244
CHEMBL1821-1,30,138,244
CHEMBL1821-1,40,115,244
CHEMBL1833-1,0,118,268
CHEMBL1833-1,10,116,268
CHEMBL1833-1,20,252,268
CHEMBL1833-1,30,122,268
CHEMBL1833-1,40,135,268
CHEMBL1833-2,0,200,252
CHEMBL1833-2,10,130,252
CHEMBL1833-2,20,210,252
CHEMBL1833-2,30,184,252
CHEMBL1833-2,40,137,252
CHEMBL1862-1,0,282,368
CHEMBL1862-1,10,282,368
CHEMBL1862-1,20,197,368
CHEMBL1862-1,30,334,368
CHEMBL1862-1,40,350,368
CHEMBL1871-1,0,126,275
CHEMBL1871-1,10,209,275
CHEMBL1871-1,20,163,275
CHEMBL1871-1,30,147,275
CHEMBL1871-1,40,107,275
CHEMBL1889-1,0,280,342
CHEMBL1889-1,10,201,342
CHEMBL1889-1,20,192,342
CHEMBL1889-1,30,220,342
CHEMBL1889-1,40,180,342
CHEMBL1908389-1,0,432,501
CHEMBL1908389-1,10,418,501
CHEMBL1908389-1,20,302,501
CHEMBL1908389-1,30,384,501
CHEMBL1908389-1,40,482,501
CHEMBL1945-1,0,287,403
CHEMBL1945-1,10,354,403
CHEMBL1945-1,20,248,403
CHEMBL1945-1,30,361,403
CHEMBL1945-1,40,366,403
CHEMBL1946-1,0,386,401
CHEMBL1946-1,10,396,401
CHEMBL1946-1,20,342,401
CHEMBL1946-1,30,183,401
CHEMBL1946-1,40,401,401
CHEMBL2014-1,0,573,597
CHEMBL2014-1,10,480,597
CHEMBL2014-1,20,500,597
CHEMBL2014-1,30,216,597
CHEMBL2014-1,40,323,597
CHEMBL2035-1,0,195,274
CHEMBL2035-1,10,136,274
CHEMBL2035-1,20,184,274
CHEMBL2035-1,30,170,274
CHEMBL2035-1,40,137,274
CHEMBL2056-1,0,177,352
CHEMBL2056-1,10,197,352
CHEMBL2056-1,20,166,352
CHEMBL2056-1,30,246,352
CHEMBL2056-1,40,209,352
CHEMBL210-1,0,107,264
CHEMBL210-1,10,144,264
CHEMBL210-1,20,230,264
CHEMBL210-1,30,180,264
CHEMBL210-1,40,143,264
CHEMBL211-1,0,119,385
CHEMBL211-1,10,159,385
CHEMBL211-1,20,177,385
CHEMBL211-1,30,262,385
CHEMBL211-1,40,193,385
CHEMBL214-1,0,515,667
CHEMBL214-1,10,523,667
CHEMBL214-1,20,627,667
CHEMBL214-1,30,487,667
CHEMBL214-1,40,508,667
CHEMBL216-1,0,308,381
CHEMBL216-1,10,254,381
CHEMBL216-1,20,377,381
CHEMBL216-1,30,248,381
CHEMBL216-1,40,371,381
CHEMBL217-1,0,758,794
CHEMBL217-1,10,674,794
CHEMBL217-1,20,492,794
CHEMBL217-1,30,616,794
CHEMBL217-1,40,503,794
CHEMBL218-1,0,308,432
CHEMBL218-1,10,310,432
CHEMBL218-1,20,289,432
CHEMBL218-1,30,317,432
CHEMBL218-1,40,333,432
CHEMBL219-1,0,520,773
CHEMBL219-1,10,585,773
CHEMBL219-1,20,755,773
CHEMBL219-1,30,614,773
